GF,GA,GD,Pts
73,32,+41,87
83,38,+45,79
71,36,+35,75
62,37,+25,70
58,53,+5,64
52,48,+4,62
54,33,+21,60
46,49,-3,56
48,45,+3,54
47,51,-4,48
48,50,-2,47
44,47,-3,47
38,51,-13,44
46,55,-9,41
40,63,-23,39
31,53,-22,38
31,57,-26,38
33,51,-18,35
28,53,-25,33
42,73,-31,30
