GF,GA,GD,Pts
93,29,+64,89
89,33,+56,89
74,49,+25,70
66,41,+25,69
56,51,+5,65
65,46,+19,64
50,40,+10,56
47,40,+7,52
48,51,-3,52
45,52,-7,47
44,51,-7,47
52,66,-14,47
45,46,-1,45
36,53,-17,45
42,62,-20,43
37,53,-16,38
43,66,-23,37
46,77,-31,36
48,78,-30,31
40,82,-42,25
