Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90
1,Barcelona,38,26,9,3,90,36,+54,87,73.8,40.5,+33.3,+0.88
2,Atlético Madrid,38,22,10,6,55,29,+26,76,46.0,38.7,+7.3,+0.19
3,Real Madrid,38,21,5,12,63,46,+17,68,61.3,45.6,+15.7,+0.41
4,Valencia,38,15,16,7,51,35,+16,61,57.3,40.3,+17.0,+0.45
5,Getafe,38,15,14,9,48,35,+13,59,44.7,40.7,+4.1,+0.11
6,Sevilla,38,17,8,13,62,47,+15,59,63.5,44.1,+19.4,+0.51
7,Espanyol,38,14,11,13,48,50,-2,53,48.8,50.8,-2.0,-0.05
8,Athletic Club,38,13,14,11,41,45,-4,53,40.2,43.8,-3.6,-0.09
9,Real Sociedad,38,13,11,14,45,46,-1,50,46.5,43.9,+2.7,+0.07
10,Betis,38,14,8,16,44,52,-8,50,48.8,47.1,+1.7,+0.04
11,Alavés,38,13,11,14,39,50,-11,50,37.3,51.0,-13.7,-0.36
12,Eibar,38,11,14,13,46,50,-4,47,50.7,45.1,+5.7,+0.15
13,Leganés,38,11,12,15,37,43,-6,45,37.4,40.0,-2.6,-0.07
14,Villarreal,38,10,14,14,49,52,-3,44,50.7,53.4,-2.6,-0.07
15,Levante,38,11,11,16,59,66,-7,44,49.9,67.9,-18.0,-0.47
16,Valladolid,38,10,11,17,32,51,-19,41,40.3,52.9,-12.6,-0.33
17,Celta Vigo,38,10,11,17,53,62,-9,41,44.8,59.7,-14.9,-0.39
18,Girona,38,9,10,19,37,53,-16,37,38.6,50.5,-11.9,-0.31
19,Huesca,38,7,12,19,43,65,-22,33,45.9,57.0,-11.2,-0.29
20,Rayo Vallecano,38,8,8,22,41,70,-29,32,40.8,54.5,-13.7,-0.36
