GF,GA,Pts,GD
106,27,100,79
68,28,81,40
74,36,77,38
84,38,75,46
62,38,70,24
74,51,63,23
36,39,54,-3
44,58,49,-14
56,60,47,-4
39,47,44,-8
45,55,44,-10
45,61,44,-16
48,68,42,-20
44,64,41,-20
34,54,40,-20
28,58,37,-30
37,56,36,-19
28,56,33,-28
35,68,33,-33
31,56,31,-25
