GF,GA,GD,Pts
68,36,+32,81
65,36,+29,71
69,35,+34,70
71,41,+30,66
49,35,+14,66
59,41,+18,63
65,51,+14,62
63,50,+13,60
41,55,-14,51
59,53,+6,50
59,55,+4,47
42,52,-10,47
40,50,-10,45
34,48,-14,43
39,51,-12,42
45,67,-22,42
48,62,-14,39
44,65,-21,37
39,67,-28,34
27,76,-49,17
