GF,GA,GD,Pts
102,37,+65,86
101,50,+51,84
71,27,+44,82
68,41,+27,79
61,39,+22,72
55,51,+4,69
64,43,+21,64
54,46,+8,56
45,52,-7,50
43,59,-16,49
33,48,-15,45
54,54,0,42
40,51,-11,40
41,60,-19,38
39,61,-22,38
38,53,-15,37
43,59,-16,36
28,62,-34,33
40,85,-45,32
32,74,-42,30
